STATEFP,COUNTYFP,TRACTCE,GEOID,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,data_as_of,data_loaded_at,multipolygon
6,75,12902,60750129022,G5030,76132,0,37.8014093,-122.4307921,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.432958 37.801236, -122.431311 37.801445, -122.431498 37.802376, -122.431679 37.803267, -122.430045 37.803518, -122.429855 37.802583, -122.429667 37.801654, -122.429486 37.800753, -122.429464 37.800645, -122.42929 37.799788, -122.430935 37.799579, -122.431103 37.80041, -122.431127 37.80053, -122.432775 37.800332, -122.432864 37.800773, -122.432958 37.801236)))"
6,75,12902,60750129021,G5030,91513,0,37.7995123,-122.4290193,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.432775 37.800332, -122.431127 37.80053, -122.431103 37.80041, -122.430935 37.799579, -122.42929 37.799788, -122.427645 37.799997, -122.426788 37.800106, -122.426494 37.800143, -122.426001 37.800206, -122.425042 37.800328, -122.424464 37.800402, -122.424443 37.800312, -122.424292 37.799565, -122.424275 37.799472, -122.425814 37.799276, -122.426631 37.799172, -122.427457 37.799067, -122.429102 37.798858, -122.430747 37.798648, -122.432393 37.798439, -122.432487 37.798905, -122.432581 37.79937, -122.432675 37.799837, -122.432748 37.8002, -122.432775 37.800332)))"
6,75,12901,60750129012,G5030,90350,0,37.8028932,-122.4274389,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.430045 37.803518, -122.4284 37.803727, -122.427687 37.803818, -122.426756 37.803936, -122.425646 37.804078, -122.425209 37.804133, -122.425191 37.804027, -122.425132 37.803738, -122.425063 37.803399, -122.425042 37.803293, -122.425017 37.803194, -122.425004 37.803107, -122.424853 37.802361, -122.424835 37.802268, -122.425065 37.802238, -122.425214 37.802219, -122.426377 37.802072, -122.428022 37.801863, -122.429667 37.801654, -122.429855 37.802583, -122.430045 37.803518)))"
6,75,13102,60750131021,G5030,146988,0,37.791343,-122.4269192,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.429625 37.793098, -122.427983 37.793307, -122.426335 37.793517, -122.426157 37.792634, -122.42598 37.791757, -122.425802 37.790874, -122.424161 37.791081, -122.422611 37.791277, -122.422599 37.791183, -122.422455 37.790472, -122.42242 37.790358, -122.423975 37.79016, -122.425616 37.789952, -122.42726 37.789743, -122.428905 37.789534, -122.429092 37.790459, -122.42927 37.791339, -122.429447 37.792217, -122.429625 37.793098)))"
6,75,12602,60750126022,G5030,378362,0,37.8053921,-122.4303789,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.437138 37.804352, -122.43697 37.804383, -122.436877 37.804561, -122.435357 37.804757, -122.434082 37.804917, -122.433898 37.804976, -122.433798 37.805043, -122.433667 37.805015, -122.432193 37.805206, -122.432091 37.8052, -122.43235 37.805976, -122.43232 37.805983, -122.432265 37.806016, -122.432227 37.806023, -122.432194 37.80604, -122.432179 37.806059, -122.432165 37.8061, -122.43218 37.806145, -122.43221 37.806153, -122.432227 37.806214, -122.432203 37.806237, -122.432206 37.806291, -122.432221 37.806338, -122.432307 37.806805, -122.432383 37.807104, -122.432565 37.80848, -122.432615 37.808486, -122.432608 37.808505, -122.432584 37.808515, -122.432342 37.808516, -122.432079 37.807223, -122.432 37.807178, -122.431443 37.807251, -122.431386 37.807314, -122.431728 37.809024, -122.431341 37.809057, -122.430995 37.807366, -122.430916 37.80732, -122.430361 37.807393, -122.430303 37.807457, -122.430622 37.809167, -122.430108 37.809215, -122.429835 37.807825, -122.429263 37.807903, -122.42927 37.80797, -122.428237 37.808406, -122.427001 37.808109, -122.426996 37.808141, -122.427546 37.808641, -122.428014 37.80857, -122.428043 37.808705, -122.427533 37.808783, -122.427524 37.808739, -122.427301 37.808773, -122.427287 37.808709, -122.42749 37.808678, -122.42691 37.808151, -122.426839 37.808113, -122.426718 37.808169, -122.4267 37.808069, -122.426582 37.808024, -122.426489 37.807652, -122.426257 37.807185, -122.42578 37.806715, -122.425628 37.806456, -122.425488 37.80601, -122.425299 37.805078, -122.425382 37.804971, -122.425231 37.804226, -122.425209 37.804133, -122.425646 37.804078, -122.426756 37.803936, -122.427687 37.803818, -122.4284 37.803727, -122.430045 37.803518, -122.431679 37.803267, -122.433328 37.803057, -122.434973 37.802848, -122.43662 37.802673, -122.436799 37.802715, -122.436815 37.802777, -122.436962 37.8035, -122.436983 37.803599, -122.437138 37.804352)))"
6,75,12601,60750126011,G5030,87397,0,37.8015594,-122.4395216,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.441655 37.80251, -122.44078 37.802619, -122.439944 37.802724, -122.438618 37.802891, -122.438 37.802557, -122.437794 37.802441, -122.437661 37.80232, -122.437596 37.802192, -122.43748 37.801575, -122.4373 37.800684, -122.437889 37.800609, -122.439504 37.800403, -122.44031 37.800301, -122.441177 37.80019, -122.441368 37.801126, -122.441559 37.80205, -122.441655 37.80251)))"
6,75,15801,60750158013,G5030,92213,0,37.7796114,-122.4353342,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.43726 37.780802, -122.436189 37.780937, -122.435616 37.781009, -122.433973 37.781219, -122.433785 37.780287, -122.433596 37.779355, -122.433407 37.778422, -122.433869 37.778363, -122.435052 37.778213, -122.436697 37.778006, -122.436885 37.778938, -122.436979 37.779404, -122.437072 37.779867, -122.43726 37.780802)))"
6,75,12302,60750123021,G5030,15409,0,37.7870917,-122.4140787,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.414995 37.787454, -122.413354 37.787664, -122.413295 37.787384, -122.413258 37.787204, -122.413161 37.78673, -122.413573 37.786677, -122.413701 37.78666, -122.413823 37.786645, -122.414807 37.78652, -122.414876 37.786864, -122.414995 37.787454)))"
6,75,17102,60750171021,G5030,100958,0,37.765188,-122.4500341,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.452758 37.765443, -122.451403 37.765616, -122.449958 37.7658, -122.450146 37.766729, -122.449074 37.766872, -122.448013 37.767007, -122.447824 37.766072, -122.447635 37.765139, -122.448441 37.765036, -122.448274 37.764196, -122.4496 37.764027, -122.451042 37.763843, -122.4524 37.763669, -122.452569 37.764509, -122.452758 37.765443)))"
6,75,17101,60750171011,G5030,108251,0,37.7658978,-122.4458192,7/21/22 22:57,7/25/22 14:01,"MULTIPOLYGON (((-122.448013 37.767007, -122.447199 37.767111, -122.446369 37.76722, -122.445545 37.767323, -122.444732 37.767426, -122.443866 37.767536, -122.443764 37.767067, -122.443695 37.766954, -122.443533 37.766691, -122.443105 37.766414, -122.443042 37.766215, -122.443004 37.766145, -122.442811 37.766011, -122.442575 37.765928, -122.443511 37.76534, -122.443538 37.765323, -122.444172 37.765959, -122.444927 37.765492, -122.445216 37.765313, -122.445963 37.765216, -122.445838 37.764577, -122.446074 37.764188, -122.446101 37.764142, -122.446505 37.763708, -122.446594 37.763607, -122.446748 37.763343, -122.446994 37.762722, -122.447305 37.764256, -122.447566 37.764801, -122.447635 37.765139, -122.447824 37.766072, -122.448013 37.767007)))"
